English,Arabic
Continuation of legislation,استمرار سريان التشريعات
contraband,المُهرَّبات: البضائع المُهرَّبة
contract,عَقد
contract of employment,عقد إستخدام
contravention,مخالفة
control,رقابة
control board,مجلس مراقبة
control of police,رقابة الشرطة
controlled,خاضع للرقابة
controlled area,منطقة مراقبة
controlled articles,سلع خاضعة للرقابة
controller,مراقب
controller of foreign exchange,مراقب العملة الأجنبية
controller of heavy industries,مراقب الصناعات الثقيلة
controller of light industries,مراقب الصناعات الخفيفة
controller of mines,مراقب المناجم
controller of road transport,مراقب النقل على الطرق
controller of salvage,مراقب الإنقاذ
controller of supplies,مراقب المؤن
convention,معاهدة
"convert, to",يحوِّل
converting land,تحويل الأراضي
conveyance,نقل (أو تسليم الملكية من شخص إلى آخر
cooperative advisory council,مجلس إستشاري لجمعية تعاونية
cooperative societies ordinance,قانون جمعيات التعاون
cooperative society,جمعية تعاونية
copyright,حقوق الطبع والتأليف
copyright act,قانون حقوق الطبع والتأليف
copyright ordinance,قانون حقوق الطبع والتأليف
copyright regulations,نظام حقوق الطبع والتأليف
copyright rules,نظام حقوق الطبع والتأليف
coroner,قاضي الوفيات المشتبه فيها
corporate,معنوي
corporate body,شخص معنوي
correction of registers,تصحيح السجلات
council,مجلس
council abolition,حل مجلس
council validation,تقنين أعمال المجلس
councillor,عضو مجل 1587;
court,محكمة
court application,طلب مقد 1605; للمحكمة
courts jurisdiction act,قانون صلاحية المحاكم
courts ordinance,قانون المحاكم
covenant,ميثاق
credit,تسليف
credit bank,مصرف التسليف
"credit, to",يُسَلِّف
crime,جريمة
criminal,عقابي
criminal case,قضية جنائية
criminal code ordinance,قانون العقوبات
criminal law ordinance,قانون الجزاء
criminal matters,قضايا جزائية
criminal procedure ordinance,قانون أصول المحاكمات الجزائية
criminal procedure rule,نظام أصول المحاكمات الجزائية
crown action,دعوى حكومية
currency,نَقد
currency notes,ورق النقد
currency ordinance,قانون النقد
currency restrictions,القيود المفروضة على العملة
custodian,حارس
custody,حجز
customs,جمارك
customs aerodrome,مطار جمركي
customs and excise enactment,قانون الجمارك والمكوس
customs and excise ordinance,قانون الجمارك والمكوس
customs duties,رسوم الجمارك
customs exemption,المعفيات الجمركية
customs frontier ordinance,قانون الحدود الجمركية
customs frontier(s),حدود جمركية
customs house,دائرة الجمارك
customs house agent,وكيل دائرة الجمارك
customs ordinance,قانون الجمارك
customs powers,صلاحية الجمارك
customs powers ordinance,قانون صلاحية الجمارك
customs regulations,نظام الجمارك
customs tariff,التعرفة الجمركية
damage,ضَرَر
dangerous drugs,عقاقير خطرة
dated,مؤرخ
dealing,تداول
dealing in antiquities,متاجرة بالآثار القديمة
dealing in arms,تداول السلاح
dealing limitation,تحديد الاتجار
debt,دَين
debt assignment,حوالة الدَّين
debt ordinance,قانون الديون
declaration,تصريح
declaration form,نموذج تصريح
"declare, to",يعلن
defamation,قَذف: افتراء
defence corps regulations,نظام كتائب الدفاع
defence legislation,تشريعات الدفاع
defence order,مرسوم الدفاع
defence regulations,نظام الدفاع
defence scheme,مشروع الدفاع
definition,تعريف، تعيين
definition of a port,تعيين حدود مرفأ
definition of water limits,تعريف حدود المياه
"definition, interpretation",تفسير
demarcation of limits,تعيين الحدود
departure,مغادرة
deposit,وديعة
deputy,نائب
deputy controller,نائب مراقب
deputy controller of supplie,نائب مراقب المؤن
deputy food controller,نائب مراقب المواد الغذائية
deputy mayor,نائب رئيس البلدية
deserter (from the army,الفارّ من الجيش
desertion (from the army,الفِرار من الجيش
"designate, to",يعيّن
designated,معيّن
designated currency,العملة المعينة
designated foreign currency,العملة الأجنبية المعينة
designation,تعيين
"Detain, to",يُوقِ ;ف
detained,موقوف، قيد التوقيف
detention,توقيف
determination,تحديد
determination of municipal areas,تحديد مناطق البلديات
dimension,مقياس
directions (M),تعليمات
directions by a commission,تعليمات صادرة عن لجنة
"discharge, to",يضطلع ب
disposal,تصرّف
"dispose of, to",يتصرف
disposition,تصرُّف
dispute,خلاف
distribution of receipts,توزيع إيرادات
district,لواء
district commission,لجنة اللواء
district commissioner,مفوض منطقة
district commissioners' powers,صلاحي ;ة حاكم المقاطعة
district court,محكمة مركزية
district governor,حاكم لواء
division,تشكيلة: تقسيم
divorce,طَلاق
document,وثيقة
double taxation,ضريبة مضاعفة
double taxation relief,الإعفاء من الضريبة المضاعفة
drainage area,منطقة تصريف المياه
drug,عقار: دواء
due,مستحق الدفع
dues,ع
duration,دورة (مدة زمنية
duration of municipal commission,دورة لجنة بلدية
duty,رسم
e of Nations,عصبة الأمم
education ordinance,قانون المعارف (التعليم
"elect, to",ينتخب
elected,منتخب
elected assembly,مجمع منتخب
elected assembly validation,تثبيت المجمع المنتخب
election,الإنتخاب
election division,منطقة إنتخابية
electoral division,منطقة إنتخابية
electric corporation limited,شركة كهرباء محدودة
electricity concession,امتياز الكهرباء
electricity ordinance,قانون الكهرباء
embassy,سفارة
emergency,طوارئ
emergency laws,تشريعات الطوارئ
emergency laws order,مرسوم تشريعات الطوارئ
emergency powers,سلطات الطوارئ
emergency regulations,نظام الطوارئ
employee,مستَخدَم، عامل
employer,مستخدِم
employment,عمل
employment of children,تشغيل الأحداث
employment of juveniles,تشغيل الأحداث
"Empower, to",يُفوّ ;ِض
empowerment,تولّي
empowerment (to act),تفويض (بالقيام بعمل
empowerment to collect a return,تفويض بجمع كشوف
enactment,قانون
"Enforce, to",يُنفّ ;ِذ
enforcement,تنفيذ
enforcement of judgement,تنفيذ حُكم
entry,دخول
entry prohibition,حظر الدخول
establishment,مؤسسة
establishment of a board,تشكيل مجلس
establishment of courts,تشكيل المحاكم
"estimate, to",يُخمِّن
estimation,تخمين
estimation of crops,تخمين الحاصلات
evidence,دليل، بيّنة
evidence act,قانون البينات
evidence by commission act,قانون أخذ الشهادة بالنيابة
exchange,تبادل
exchange of notes,تبادل المذكرات
excise,مكوس
excise duty,رسم على الإنتاج المحلي
"exclude, to",يستثني
excluding,ما عدا: باستثناء
Exclusion,استثناء
execution of judgement,تنفيذ الحكم
executive,تنفيذي
executive council,مجلس تنفيذي
"exempt from, to",يعفي من
"exempt, to",يستثني من
Exemption,استثناء
exemption from petroleum rules,الإستثناء من نظام البترول
exemption from tithe,الإعفاء من ضريبة العشر
explanation,تفسير
exploration,تحري
export duty,رسم الصادر
export powers,صلاحية التصدير
export powers ordinance,قانون صلاحية التصدير
exports licence,رخصة الصادرات
"expropriate, to",ينزع الملكية
expropriation of land,نزع ملكية الأراضي
extending,تمديد أجل
extending to,تطبيق على
extension,سريان
extension of a convention,سريان معاهدة
extension of an ordinance,تطبيق قانون
extension of time,تمديد المدة
extradition,تبادل تسليم المجرمين
extradition convention,معاهدة تسليم المجرمين
extradition ordinance,قانون تسليم المجرمين
extradition proclamation,منشور تسليم المجرمين
extradition treaty,معاهدة تسليم مجرمين
family law,قانون العائلة
fare,رسم السفر
fee,رسم: أتعاب
fees and payments,رسوم
fees validation,تقنين ر 1587;وم
file,ملف
finance,المالية
fine,غرامة (مالية
fines fund,صندوق غرامات
fire inquiry,تحقيق ف 1610; أسباب الحرائق
"fire, to",يطلق النار
firearms ordinance,قانون الأسلحة النارية
fish tax,ضريبة السمك
fishery officer,مأمور مصايد الأسماك
"fix, to",يُعيِّن
fixing of prices,تعيين الأسعار
food control,مراقبة المواد الغذائية
food control ordinance,قانون مراقبة المواد الغذائية
food controller,مراقب المواد الغذائية
for,بخصوص
force,قوَّة
foreign arbitration award,قرار التحكيم الأجنبي
foreign currency,عملة أجنبية
foreign documents,وثائق أجنبية
foreign exchange,عملة أجنبية
foreign imports,واردات أجنبية
foreign jurisdiction,الإختصاص في البلاد الأجنبية
foreign jurisdiction act,قانون الإختصاص في البلاد الأجنبية
foreign law,تشريعات أجنبية
foreign law ascertainment ac,قانون التثبت من التشريعات الأجنبية
foreign prisoner,سجين أجنبي
foreign tribunal,محكمة أجنبية
forensic robes,كسوة المحامين
forests ordinance,قانون الغابات
"forge, to",يُزوِّر
forgery,تزوير
form,نموذج، شكل
form of declaration,نموذج تصريح
formal,رسمي
formal notification,تبليغ رسمي
formal order,قرار صوري
franchise,حق الإنتخاب
free,دون رسم
frontier force ordinance,قانون قوات أمن الحدود
frontiers,حدود
frontiers zone,منطقة الحدود
fugitive criminal,مجرم فارّ
fugitive offender,مجرم فارّ
function,مهمة، وظيفة
fund,صندوق (اعتماد مالي
game preservation ordinance,قانون وقاية الصيد
game preservation proclamation,منشور وقاية الصيد
game preservation rules,نظام وقاية الصيد
gaming,مقامرة
gazette,جريدة رسمية
gendarmerie,الدَّ ;رَك
general,عام
general council,المجلس العام
general council validation,تثبيت المجلس العام
general delegate,المندوب العام
General exemption,استثناء عام
general intelligence,المخابرات العامة
general loan,قَرض عمومي
general manager,مدير عام
general return,كشف عام
general rule(s),نظام عا 1605;
general tribunal,محكمة عامة
Geneva Convention,معاهدة جنيف
good conduct,حسن السيرة (السلوك
good conduct pay,علاوة حسن السلوك
goods in transit,نقل البضائع بالترانزيت
government,حكومة
government guarantee,كفالة الحكومة
governor,حاكم
grant,هبة
"grant, to",يَمنح
guarantee,ضمان
guard,خفير: حارس
"hand over, to",يُسلِّم
handing over,تسليم
heir,وارث
high commissioner,مفوض سامٍ
high commissioner - in - council,المندوب السامي في المجلس التنفيذي
high court,محكمة عليا
"hire, to",يُؤجِّر
house rate,عائدات المنازل للبلدية
house tax,ضريبة المنازل
housing ordinance,قانون بناء المساكن
"identify, to",يتحقق م 1606; هوية شخص
imitation,مقلّد
immigration,هجرة
immigration director,مدير الهجرة
immigration fees,رسوم الهجرة
immigration order,مرسوم الهجرة
immigration ordinance,قانون الهجرة
immigration regulations,نظام الهجرة
immigration validation,تقنين شهادات الهجرة
immunity,حصانة
imperial,ملكي
import powers,صلاحية الإستيراد
import powers ordinance,قانون صلاحية الإستيراد
imports general licence,رخصة استيراد عمومية
imports licence,رخصة الاستيراد
imports open general licence,رخصة استيراد عمومية مطلقة
imports open licence,رخصة استيراد مطلقة
"impose, to",يفرض
imposition,فَرض
imposition of rates,فرض الضرائب
"imprison, to",يسجن، يحبس
imprisonment,سجن، حب 1587;
income tax,ضريبة الدخل
incorporation,دمج
incorporation of legislation,دمج التشريعات
increase of compensation,زيادة التعويض
increment tax,ضريبة التحسين
indemnity ordinance,قانون الإعفاء من المسؤولية
indication of limits,تحديد قيود: تحديد ضوابط
indirect,غير مباشر
indirect collection,استيفاء بطريق التلزيم
industrial court,محكمة صناعية
industrial property convention,معاهدة حماية الممتلكات الصناعية
infected country,بلد موبوء
information,معلومات
"inquest, investigation",تحقيق
"inquire, to",يُحقِّق
inquiry,تحقيق
"inspect, to",تفتيش
inspection,معاينة
inspector,مفتّش
inspector - general of police,مفتش عام للبوليس
inspector general,مفتش عام
inspector's fees,رسوم المفتشين
"instruct, to",يعطي تعليمات
instructions (M),تعليمات
instrument,وثيقة
insurance,تأمين
insurance board,مجلس التأمين
insurance company,شركة تأمين
insurance company deposits,ضمانات شركات التأمين
interest,فائدة
Interest on loans,الفائدة عن القروض
international convention,معاهدة دولية
internee,معتقل
internees finances,مالية المعتقلين
"Interpret, to",يُفسِّر
interpretation,تفسير
"intimidate, to",يرهب، يخيف
intoxicating liquors,مسكرات
intoxicating liquors ordinan,قانون المسكرات
intoxicating liquors rules,نظام المسكرات
intoxication,سُكر
invoice,قائمة ا 1604;بضاعة، فاتورة
issued,صادر
issuing authority,سلطة الترخيص
jewish colonisation association,شركة إستعمار يهودية
judgement,حُكْم
judgement by default,حكم غيابي
judgements ordinance,قانون الأحكام
judicial,قضائي
judicial documents,وثائق قضائية
jurisdiction,صلاحية
jurisdiction act,قانون الاختصاص
jurisdiction of courts,صلاحية المحاكم
jurisdiction of the court,صلاحية المحكمة
justice,عَـدْل
juvenile,حَدَث
juvenile offender,المجرم الحَدَث
juvenile offenders ordinance,قانون المجرمين الأحداث
labour,عَمَل
labour law,قانون العمل
labourer,عامل
land court,محكمة الأراضي
land courts ordinance,قانون محاكم الأراضي
land disputes,منازعات الأراضي
land disputes ordinance,قانون منازعا ت الأراضي
land law ordinance,قانون الأراضي
land register,سجل الأراضي
land registration,تسجيل الأراضي
land settlement,تسوية الأراضي
land settlement action,دعوى تسوية حقوق الملكية
land settlement of title,تسوية حقوق ملكية الأراضي
land surveyor,مسّاح الأراضي
land tax,ضريبة الأراضي
land transfer fees,رسوم إنتقال الأراضي
land transfers regulations,نظام إنتقالات الأراضي
land valuer,مُثَمِّن أراضي
landlord,مالِك
landlord and tenant,المالك والمستأجر
landlords and tenants ordinance,قانون المالكين والمستأجرين
language allowance,علاوة اللغة
law ascertainment act,قانون التثبت من التشاريع
law council,مجلس الحقوق
law of evidence ordinance,قانون البيُّنات
law of execution ordinance,قانون الإجراء
law of procedure ordinance,قانون أصول المرافعات
laws,تشريعات، قوانين
lease,التأجير
lease goods,بضائع التأجير
"lease, to",يُؤجر
legal,قانوني
legal holiday,يوم عطل 1577; قانونية
legal interest,الفائدة القانونية
legal rate,المُعدَّل القانوني
legal tender,عملة قانونية
"legislate, to",يُشرِّع: يَسِن قانوناً
legislation,التشريع
legislative council,المجلس التشريعي
lend goods,بضائع الإعارة
"lend, to",يُعير
lending,الإعارة
"let, to",يُؤجِّر
letter,تحرير
letters ordinance,قانون التحرير
letting on hire,تأجير
licence,رخصة
licence for the ship station,رخصة المحطة اللاسلكية في السفينة
"license, to",يرخِّص
licensed,مرخَّص: مصرّح به
licensed retailer,تاجر مفرق مرخَّص
licensed wholesaler,تاجر جملة مرخَّص
licensing,ترخيص
licensing board,مجلس الترخيص
licensing of exports,ترخيص الصادرات / التصدير
licensing of imports,ترخيص الإستيراد
licensing offence,مخالفة ترخيص
lighterage,التجريم
lighterage charges,رسوم التجريم
"limit, to",يُحدِّد
limitation,تحديد
limitation of prices,تحديد الأسعار
limited,محدود
limited company,شركة محدودة
limits,حدود (قيود
limits of a town planning area,حدود منطقة تنظيم مدينة
liquidation,تَصفِية
liquidation of bank,تصفية البنك
list,قائمة
loaded,مشحون
loading,وسق: تحميل
loan,قَرض
loans ordinance,قانون القروض
local,محلي
local advertisements publication,نشرة الإعلانات المحلية
local authority,هيئة محلية
local community,مجتمع محلي: طائفة محلية
local council,مجلس محلي
local council assessment,تخمين المجلس المحلي
local councils ordinance,قانون المجالس المحلية
local education authority,سلطة تعليم محلية
lost,مفقود
lost property,لقطة: مفقودات، أموال مفقودة
magistrate,حاكم الصلح
magistrate court,محكمة الصلح
magistrates' courts jurisdiction,صلاحي ;ة محاكم الصلح
maintenance of registers,حفظ السجلات
mandated territory,بلد واقعة تحت الإنتداب
mark,علامة
marriage,زواج
marriage fees,رسوم الزواج
martial law,حكم عرف 1610;
material,مادة
matter,قضية
matter pending before a tribunal,قضية معلقة لدى محكمة
maximum,الحد الأعلى
maximum price,الحد الأعلى لسعر
mayor,رئيس بلدية
measure,تدبير
"measures, to take",يتخذ تدابير
mechanic propelled vehicles,المركبات ذات المحركات الميكانيكية
medical commission,لجنة طبية
medical organization,منظمة صحية
medical practitioner,طبيب الصحة
meeting,جلسة
member,عضو
member of the shipping tribunal,عضو محكمة الملاحة البحرية
merchandise,بضائع
merchandise marks,علامات البضائع
merchandise marks ordinance,قانون علامات البضائع
merchandise marks regulation,نظام علامات البضائع
merchant,تاجر
merchant ship,سفينة تجارية
merchant shipping act,قانون الملاحة التجارية
message,رسالة (بلاغ
military,عسكري
military authority,سلطة عسكرية
military commander,قائد عسكري
military court,محكمة عسكرية
military force,قوة عسكرية
military purposes,لمقاصد عسكرية
mining ordinance,قانون التعدين
minister for foreign affairs,وزير خارجية
mission,مهمة
modification,تعديل
modification of a rule,تعديل نظام
"modify, to",يُعدِّل
monopoly,الاحتكار
monthly return,كشف شهر 1610;
mortgage,الرهن
mortgage law ordinance,قانون الرهن
moslem awkaf,الأوقاف الإسلامية
moslem sharia council,المجلس الشرعي الإسلامي
motor vehicles insurance,تأمين المركبات الميكانيكية
motor vehicles log book,دفتر سفرات المركبات الميكانيكية
"move, to",يَنقُل
movement,تنقل
movement of goods,نقل السلع
movement restrictions,تقييد النقل
mukhtar,مختار
municipal area,منطقة بلدية
municipal assessment,تخمين البلدية
municipal auditor,مراقب حسابات الهيئات البلدية
municipal commission,لجنة بلدية
municipal corporation,هيئة بلدية
municipal corporations ordinance,قانون البلديات
municipal council,مجلس بلدي
municipal councils ordinance,قانون المجالس البلدية
municipal courts jurisdictio,صلاحية محاكم البلديات
municipal courts ordinance,قانون محاكم البلديات
municipal fees,رسوم البلدية
municipal franchise ordinanc,قانون الإنتخابات البلدية
municipal house rate,ضريبة منازل البلدية
municipal loans,قروض بلدية
municipal rate,ضريبة البلدية
municipal rates ordinance,قانون رسوم البلديات
municipal tax,رسوم البلدية
municipal tax law ordinance,قانون رسوم البلديات
municipal tribunal,محكمة بلدية
municipality,بَلديَّة
musaqqafat tax,ضريبة المُسَقَّفات: ضريبة العَقار
name - plate,لوحة أسماء
national,رعيّة
nationals,رعايا
naturalization,التجنس
naturalization of alien wome,تجنس النساء الأجنبيات
"naturalize, to",يَتَجنَّس: يكتسب الجنسية
naval,بحري
naval prize,غنائم بحرية
naval prize act,قانون الغنائم البحرية
navigable,صالح للملاحة
navigable waters,مياه الملاحة
navigation,مِلاحة
negotiable,قابل للتحويل: قابل للتفاوض
nomination,ترشيح
northern district,لواء شمالي
notary public,كاتب عَدل
note,مذكرة
notification,تبليغ
notification of accidents,تبليغ الحوادث
notification of address,تبليغ العنوان
"notify, to",يُبْلِغ
nuisance,ضرر
oath,يمين: قَسَم
oaths ordinance,قانون تحليف الأَيمان
obscene,مخل بالآداب
obscene publications,مطبوعات مخلة بالآداب
obscene publications traffic,تجارة المطبوعات المخلة بالآداب
observation,مراعاة
observation of conditions,مراعا ;ة الشروط
"obstruct, to",يَعوق
obstruction,عائق
occupation,مهنة
occupational,مهني
occupational disease,مرض يتعلق بالمهنة
"occupy, to",يَحتَلّ
offence,جريمة
"offend, to",يرتكب جرماً
offender,مُجرِم
officer,مأمور
official,رسمي
official secret,سِرّ رسمي
offloading,تفريغ
on,منع العوائق
open,مطلق
open general licence,رخصة عمومية مطلقة
open general permission,تصريح مطلق عام
open licence,رخصة مطلقة
Operation,عملية
"operation, to bring into",يضع موض 1593; العمل
order,مرسوم
order in council,مرسوم ملكي
ordinance,قانون
"Organize, to",يُنَظ ;ِّم
orphan,يَتيم
orphans' pensions,تقاعد الأيتام
Orthodox Patriarchate Ordinance,قانون البطريركية الأرثوذكسية
Ottoman Law,تشريعات عثمانية
Ottoman service,الخدمة في الحكومة العثمانية
Palestine Advisory Council,المجلس الإستشاري الفلسطيني
Palestine Gazette,الوقائع الفلسطينية
parties,الفرقاء، الأطراف
partnership,شركة عادية، شراكة
partnership ordinance,قانون الشركات العادية
party,جهة
passive,سلبي
passive defence,دفاع سلبي
passive defence service,مصلحة الدفاع السلبي
passport ordinance,قانون جوازات السفر
passport regulations,نظام جوازات السفر
patent and designs office,مكتب إمتيازات الإختراعات والرسوم
patents and designs ordinanc,قانون إمتيازات الإختراعات والرسوم
patents and designs rules,نظام امتيازات الإختراعات والرسوم
pay,علاوة
"pay, income",راتب
payment,دفع
payment of annuities,دفع الأقساط السنوية
payment of duty,دفع رسم جمركي
payment of rates,دفع الضرائب
payments,دفعات
penal,عقابي
penal labour,الأشغال الشاقة
penal labour ordinance,قانون الأشغال الشاقة
pending,معلَّق: موقوف
pension,معاش التقاعد
pensionable office,وظيفة تقاعدية
pensions ordinance,قانون التقاعد
percentage,النسبة المئوية
percentage addition,النسبة المئوية للزيادة
"perform, to",ينجز
perjury,شهادة الزُّور
perjury ordinance,قانون شهادة الزور
permit,رخصة
permit fees,رسوم رخصة
"permit, to",يجيز
personal injuries ordinance,قانون الأضرار الشخصية
personal injury,ضَرر شخصي
personal status,الأحوال الشخصية
petition,عَريضة
petition writer,كاتب العرائض
pharmacists ordinance,قانون الصيادلة
place of inspection,مكان المعاينة
planning commission,لجنة تنظيم
plant inspector,مفتش النبات
plant protection ordinance,قانون وقاية النبات
playing cards excise,مكوس ورق اللعب
playing cards excise ordinance,قانون مكوس ورق اللعب
ploughing loan,قرض حراثة
point: (crossing) point,معبر
police,بوليس، شرطة
police and prisons separatio,فصل البوليس عن السجون
police declaration form,نموذج تصريح البوليس
police force,قوة البوليس
police form of declaration,نموذج تصريح البوليس
