English,Arabic
Spirocheta refringens,الملتوية (اللولبية) الحاطمة
Spirochaeta refringens,الملتوية (اللولبية) الحاطمة
Syphiloderm,سفلس جلدي
Syphiloderma,سفلس جلدي
Taenicide,مبيد الشريطيات
Taeniacide,قاتل الشريطية
Uremia,تبولن الدم
Uraemia,يوريمية
septicemia,دم
septicaemia,دم
etiology,حسي
aetiology,حسي
Atriobentricular (a-v) bundle,حزمة أذنية بطينية
Hex-,سداسي (سابقة)
Hexa-,سداسي (سابقة)
A°,أ (رمز الأنغستروم)
﻿A. (for anode),"اختصار ""أنود – مصعد، القطب الموجب)"
Acetylconenazyme A,أسيتيل التميم ( أ )
A. P. T.,أ ب ت (ذوفان مرسب بالشب) (ذ ر ش)
T. A. B,لقاح ت ا ب
A capite ad calcem,من الرأس حتى القدم
Vitamin A,حيمين أ – فيتامين ضد الخوص
antixerophthalmia,حيمين أ – فيتامين ضد الخوص
Ceiling of A test,أعلى الدرجات في الاختبار
A.O.C.,انقباض فتحي إيجابي القطب
anodal opening contraction,انقباض فتحي إيجابي القطب
A case subject to interdiction,حادث (أو حالة) حري (أو حرية) بالحجر
A woman with infantile genital organs,الضهياء
Antityphoid and antiparatyphoid A and B,لقاح (ضد) التيفوئيد ونظيرتيها
Alum percipitated toxid (A.P.T.),ذوفان مرسب بالشيب
Ana,من كل
aa,من كل
AA,"رمز صيدلي معناه ""من كليهما"" أو ""من كل منها"""
aa,"رمز صيدلي معناه ""من كليهما"" أو ""من كل منها"""
AA,من كل
aa,من كل
AAA,اختصار لكلمة أملغم (ملغمة)
Aasmus,ربو
Ab-,"صدر أو سابقة بمعنى ""من، بعيد أو منفصل عن"""
Ab-,بادئة بمعنى: بعيد عن
Aback,نحو الخلف - إلى الوراء
Amicrobic,غير مكروبي
abacterial,لاجرثومي
Abacterial,لا جرثومي
Abacterial,خال من الجراثيم
Abacterial,لا جرثومي
Abactio,إجهاض مفتعل أو محدث
Abactio,إجهاض محدث
Abactus venter,إجهاض محدث
induced abortion,إجهاض مفتعل
Abaissement,خفض. تنكيس
Abajoue,مجج
cheek pouch,جيب الخد
Abalienated,شارد الفكر - خبل
Abalienation,خبل
abalienatio mentis,شرود الفكر
Abandon,التخلي عن مواجهة الخطر
Abandoned,يمكن التخلي عنه
Self-abandonment,ترك الذات
Abandonment,تخل عن – هجر – ترك
Abandonment neurosis,عصاب الهجر
Abapical,بعيد عن الذروة
Abapical,بعيد عن الذروة
Abaptiston,مثقب- لا ينفذ إلى الدماغ
Abarognosis,عمه الوزن - فقد تقدير الثقل أو الوزن
Abarognosis,عمة الوزن
Abarthrosis (junctura synovialis),مفصل (= موصل زليلي)
Abarthrosis,مفصل سلس
diarthrosis,مفصل متحرك
Abarticular,بعيد عن المفصل - مجافي المفصل. لا يصيب المفصل
Abarticular,مجافي المفصل
Abarticular gout,نقرس غير مفصلي
Abarticulation,خلع مفصلي – مفصل سلس
Abarticulation,1. مفصل2. خلع المفصل
Abarticulation,خلع المفصل. مفصل سلس
diarthrosis,خلع المفصل. مفصل سلس
Self-abasement,تحقير الذات
Abasement,التحقير أو الإذلال
Abash,أخجل
Paralytic abasia,اللاخطو الشللي
Astasia abasia,لا وقوف ولا خطو - رجز - خطران - قعاد
Astasia abasia,اللاخطويةاللاوقوفية
Abasia,اللاخطو - أين- عدم القدرة على المشي لعيب في الانسجام. تغيف
Abasia,اللاخطوية
Abasia,عجز عن السير أو المشي
Abasia astasia,اللاخطو واللاوقوف
Abasia atactica,اللاخطو الرنجي - عدم انتظام الحركة - خطران
Abasia-astasia,عجز عن السير وعن الوقوف
Abatic,لاخطوي
abasic,لاخطوي
Abatic,لا خطوي
abasic,لا خطوي
Abasic,لاخطوي - متغيف - غير قادر على المشي
Abasic,لا خطوي
Abatardissement,تلف السلالة - فساد العرق أو الذرية - تردي السلالة
Abate,يخمد
Abate,يخف
Abatement,خمود – خفة الألم والأعراض
Abatement,خفة الأعراض
Abats,أحشاء المواشي - سلابة - عفاجة الأحشاء
Abattoir,المسلخ - المجزر
Abaxial,بعيد عن المحور
Abaxial,مجانب المحور
abaxile,مباعد للمحور بعيد عن المحور
Ali abbas,على بن العباس
Abbau,المبددات - نواتج الأيض الهدمي
Abbreviated Speech,كلام مختزل (موجز)
M,Hojwhv “Hgt – Hl.[ - ljv”
abbreviation for mille,Hojwhv “Hgt – Hl.[ - ljv”
misce,Hojwhv “Hgt – Hl.[ - ljv”
meter,Hojwhv “Hgt – Hl.[ - ljv”
Abbreviation,اختصار
Acute abdomen,التهاب بطني حاد
Boat-shaped abdomen,بطن زورقي
Burst abdomen,بطن منفزر
Navicular abdomen,بطن زورقي
Acute abdomen,أعراض بطنية حادة
Pendulous abdomen,الثجل – بطن متدل مثل الخرج - سول
Retracted abdomen,بطين خميص
Acute abdomen,بطن حاد
Boat-shaped abdomen,بطن زورقي
scaphoid abdomen,بطن زورقي
Pendulous abdomen,بطن متدلي
Scaphoid abdomen,بطن زورقي
Navicular,بطن زورقي
scaphoid abdomen,بطن زورقي
Abdomen,بطن
Abdomen,بطن
Abdomen,البطن
Abdomen obstipum,الهيف - خمص البطن- قصر خلقي في العضلة المستقيمة البطنية
Hollow abdomianl-viscera,الأحشاء البطنية الجوفاء
Circulatory abdominal stagnation,سكون دوراني بطني
Oblique external abdominal muscle,عضلة البطن المنحرفة الخارجية
False rib,ضلع كاذبة - ضلع لا قصية
abdominal rib,ضلع كاذبة - ضلع لا قصية
asternal rib,ضلع كاذبة - ضلع لا قصية
Endo-abdominal,داخل البطن
Iliolumbocosto-abdominal,حرقفي قطني ضلعي بطني
Inguino-abdominal,أربي بطني
Intra-abdominal,في البطن - داخل البطن
Intra-abdominal pressure,الضغط البطني
Subperitoneo-abdominal,تحت الصفاق البطني - تحت الخلب
Thoracico-abdominal,صدري بطني
Vesico-abdominal,مثاني بطني
Inguino-abdominal,أربي بطني
Inta-abdominal,داخل البطن
Latero-abdominal,بطني جانبي
Lumbo-abdominal,قطني بطني
Recto-abdominal,مستقيمي بطني
Thoracico-abdominal,صدري بطني
Abdominal,بطني
Abdominal,بطني
Abdominal aneurysm,أم الدم البطنية
Abdominal apoplexy,نزف بطني
Abdominal bandage,ضماد بطني
Abdominal binder,حزام بطني
Abdominal cavity,التجويف البطني
Abdominal gestation,حمل بطني
Abdominal hysterectomy,استئصال الرحم البطني
Abdominal pains,آلام بطنية
Abdominal pore,ثقب بطني
Abdominal pregnancy,حمل بطني
Abdominal wall,جدار بطني
Abdominal zones,مناطق بطنية
Abdominal aneurysm,أنورسما الأبهر البطني
Abdominal aorta,الوتين البطني
Abdominal aponeurosis,صفاق بطني
Abdominal apoplexy,نزف بطني
Abdominal ballottement,نهز بطني
Abdominal bandage,عصابة بطنية
Abdominal binder,حزام بطني
Abdominal breathing,تنفس بطني
Abdominal cavity,المربض - جوف البطن
Abdominal hysterectomy,استئصال الرحم من البطن
Abdominal incisions,مشاق البطن
Abdominal line,خط بطني
Abdominal pad,لينة بطنية
Abdominal reflex,منعكس بطني
Abdominal respiration,تنفس بطني
Abdominal sac,الكيس البطني
Abdominal section,قتح البطن
Abdominal surgery,جراحة البطن
Abdominal touch,مس بطني
Abdominal aorta,الأبهر البطني
Abdominal aponeurosis,السفاق البطني
Abdominal ballottement,نهز بطني
Abdominal bandage,عصابة البطن
Abdominal binder,حزام بطني
Abdominal line,خط بطني
Abdominal respiration,تنفس بطني
Abdominal sac,الكيس البطني
Abdominal section,فتح البطن
laparotomy,فتح البطن
Abdominal stalk,السرر
Abdominal surgery,جراحة البطن
Abdominal zones,مناطق البطن
Abdominal Cavity,تجويف البطنية
Abdominal Cavity,التجويف البطني
Abdominal Migraine,الشقيقة البطنية
Abdominal Pain,ألم بطني
Abdominal inguinal ring,الحلقة أو الفتحة الأربية البطنية
Abdominal aortic plexus,الضفيرة الأبهرية البطنية
Abdominal reflex’s,منعكسات بطنية
Abdominal external ring,حلقة أربية سطحية
Abdominal internal ring,حلقة أربية عميقة
Abdominal or ventral decubitus,انبطاح وانكباب - استلقاء على البطن
Abdominal hydrops,حبن بطني
ascites,سقي
Abdominal ring,حلقة أربية. حلقة بطنية
inguinal ring,حلقة أربية. حلقة بطنية
Abdominal stalk,السرر
belly stalk,الحبل السري
Abdominal version,تحويل خارجي – بمعالجة الجنين عبر الجدار البطني للأم
external version,تحويل خارجي – بمعالجة الجنين عبر الجدار البطني للأم
Ventral position,الوضع البطني
decubitus abdominalae position,الوضع الاستلقائي على البطن أو الانبطاحي
Cerebrum abdominale,الضفيرة الشمسية
Ostium abdominale tubae uterinae,الفوهة البطنية للبوق - فتحة البوق البطنية
Ostium abdominale tubae uterinae,الفوهة البطنية للبوق
Abdominalgia,وجع البطن - ألم البطن
Facies abdominalis,سحنة المغموص
Pars abdominalis,الجزء البطني
Annulus inguinalis abdominalis,الحلقة الأربية البطنية
Aorta abdominalis,الأبهر البطني
Pars abdominalis ureteris,الجزء البطني للحالب
Plexus aorticus abdominalis,الضفيرة الأبهرية البطنية
Paracentesis abdominis,بزل البطن
Paracentesis abdominis,بزل البطن
Rectus abdominis muscle,العضلة البطنية المستقيمة
Cavum abdominis,جوف البطن
Regiones abdominis,نواحي البطن
Regio lateralis abdominis,الناحية البطنية الوحشية
Abdominouterotomy,شق الرحم بطريق البطن
abdomino hysterotomy,شق الرحم بطريق البطن
Abdomino-,بطن (سابقة)
Abdomino-anal,بطني شرجي
Abdomino-anterior,بالبطن للأمام
Abdominocentesis,بزل البطن
Abdominocentesis,بزل البطن
Abdominocystic,بطني مراري
Abdominogenital,بطني تناسلي
Abdominohsterotomy,البضع البطني للرحم
Abdominohysterectomy,الاستئصال البطني للرحم
Abdominohysterotomy,الاستئصال البطني للرحم - استئصال الرحم البطني
Abdominohysterotomy,بضع الرحم البطني
Abdominoperineal,بطني عجاني
Abdominoperineal excision of the rectum,الاستئصال البطني العجاني للمستقيم
Abdominoposterior,بطني ظهري – بطن الجنين باتجاه ظهر الأم
abdominoscopy,بطن - بطني
Abdominoscopy,تنظير البطن - فحص منظاري للبطن
Abdominoscopy,تنظير البطن
Abdominoscrotal,بطني صفني
Abdominothoracic,بطني صدري
Abdominothoracic,بطني صدري
Abdominous,مبطان - بارز البطن
Abdominovaginal,بطني مهبلي
Abdominovaginal,بطني مهبلي
Abdominovesical,بطني مثاني
Abduce,يبعد - يقصي
Nerveus abducens,العصب المبعد
Abducens,(العصب) المبعد
Abducensnerve,المبعد. العصب الجمجمي السادس
Abducens,مبعد
Abducens oculi,مبعدة العين: عضلة العين المستقيمة الجانبية
the rectus lateralis muscle of the eye,مبعدة العين: عضلة العين المستقيمة الجانبية
abducent,بعيدًا - بعيدًا عن
Abducent,مبعد - باد - مبعد
Abducent,مبعد
Abducent muscle,العضلة المبعدة
Abducent nerve,العصب المبعد
Abducent nerve,عصب مبعد
Abducent nerve,عصب مبعد
Abducent Nerve,العصب المبعد
Abduct,يبعد - يبد
Abduct,اختطف
Abduction,تبعيد أو تبعد - بد - إبعاد
Abduction,تبعيد
Abduction splint,جبيرة تبعيد
Abductor,مبعد - مبعدة. خاطف
Abductor,عضلة إبهام القدم المبعدة
Abductor,عضلة مبعدة
Abductor,العضلة القصيرة المبعدة لإبهام اليد
Abductor,مبعد
Abductor hallucis muscle,العضلة المبعدة إبهام القدم
Abductor digiti minimi muscle,العضلة المبعدة الخنصر
Abductor pollicis brevis muscle,العضلة القصيرة المبعدة إبهام اليد
Pes abductus,قدم. دواسة - دعسة
Pes abductus,قدم بعداء
Hepatica abebiasis,داء الأميبات الكبدي
Intestinal abebiasis,داء الأميبات المعوي
Abebiasis,داء الأميبات
Apenteric,خارج الأحشاء
abenteric,خارج الأحشاء
Abenteric,خارج أو بعيد عن الأمعاء
Abepithymia,شلل الضفيرة الشمسية - تياقة فاسدة
Aberrancy,شرود – تيه
Vas aberrans,الوعاء الزائغ
Aberrans,قنية تائهة - إحدى قنيتي البربخ
Aberrant,زائغ. ضال
Aberrant,زائغ
Aberrant artery,الشريان الزائغ أو الضال
Aberrant goiter,دراق تائه - سلعة تائهة
Aberrant pancreas,بنكرياس زائغ
Aberrant thyroid,درقية زائغة
Aberrant thyroid,درقية زائغة
Struma aberranta,سلعة تائهة
Ductuli aberrantes,قنيات تائهة أو مسيلات تائهة
Aberratio,زيغ
Aberratio,زيغ - زيغان - انحراف
aberration,زيغ - زيغان - انحراف
Chromatic aberration,زيغ لوني
Chromosome aberration,زيغ صبغي
Dioptric aberration,زيغ كروي
Distantial aberration,زيغ البعد
Emotional aberration,زيغ انفعالي
Mental aberration,زيغان أو تيهان عقلي
Spherical aberration,زيغ كروي
Spherical aberration,الزيغ الكروي
Chromatic aberration,زيغ لوني
Chromosome aberration,زيغ صبغي
Dioptric aberration,زيغ كروي
spherical aberration,زيغ كروي
Distantial aberration,زيغ المسافة
Mental aberration,زيغ عقلي
Spherical aberration,زيغ كروي
Chromosome aberration,زيغ صبغي
Angle of aberration,زايوة الزيغ
Angle of aberration,زاوية الانحراف
Angle of deviation,زاوية الانحراف
Aberration,زيغان أو زيغ. شت الضياء. خلل عقلي
Aberration,ضلال – انحراف – زيغ
Aberration,زيغ
Aberration,انحراف- خلل
Sexual aberrations,الانحرافات الجنسية
Aberrometer,مقياس الزيغ
Abetalipoproteinemia,فقد البروتين الشحمي بيتا من الدم
Abevacuation,التفريغ اللاسوي - تفريغ غير تام
Abeyance,تعليق. تعطل
Abeyance,تعليق (عمل أو وظيفة)
Self-abhorrence,كره الذات
Abiatrophy,ضمور أو عدم الحيوية. فقد الحيوية المبتسر
Abience,تجنب- إحجام
Abient,مبتعد - سلبي الاستجابة (للتنبيه)
Abient,إحجام
Abient Behaviour,سلوك تجنبي (غحجامي)
Abient Response,استجابة إحجامية
Abies,التنوب – جنس شجر من الصنوبريات
Abies balsamea,تنوب بلسمي
Abies pectinita,تنوب مشطي - تنوب فضي
Primary mental abilities,القدرات العقلية الأولية
School abilities test,اختبار القدرات المدرسية
Tests of primary metal Abilities,اختبار القدرات العقلية الأولية
Academic ability,قدرة أكاديمية
Arithmetical ability,القدرة الحسابية
Artistic ability,القدرة الفنية
Clerical ability,قدرة كتابية
Cognitive ability,القدرة المعرفية
Creative ability,قدرة ابتكارية- إبداعية
General ability,القدرة العامة
Mechanical ability,قدرة ميكانيكية
Mental ability,القدرة العقلية
Motor ability,قدرة حركية
Musical ability,القدرة الموسيقية
Numerical ability,القدرة العددية
Primary ability,قدرة أولية
Reasoning ability,القدرة الاستدلالية
