headword,alternatives,arabic
Adequately,,كما ينبغي، على نحو كافٍ
Adhesion contracts,Adhesion|contracts,عقود إذعان
Adjusted Trial Balance,Balance,ميزان المراجعة المعدل
Adjusting Entry,Entry,قيد تسوية
Adjustment,,تسوية
Adjustments,,تعديلات
Adjustments from transfers,Adjustments,تعديلات من تحويلات
Adjustments to reconcile net income to net cash (outflow)/inflow from operating activities,Adjustments|inflow|outflow|reconcile,تعديلات لمطابقة صافي الإيراد مع صافي النقد (المدفوع)/ المقبوض من أنشطة العمليات
Administrative Expenses,Administrative|Expenses,المصروفات الإدارية
Advance to suppliers,Advance|suppliers,دفعات مقدمة للموردين
Adverse Opinion,Adverse|Opinion,رأي عكسي
advertissement,,دعاية، إعلان
Advertizing,,دعاية
AED,,درهم إماراتي
Aerated Concrete Industries,,شركة صناعة الخرسانة الخلوية
AERATED CONCRETE INDUSTRIES CO.(K.S.C.C),CONCRETE,شركة صناعات الخرسانة الخلوية ش.م.ك مقفلة
AFA,,أفغاني
Afghanistan,,أفغانستان
After market performance,After|market|performance,أداء السهم في السوق الثانوية
After-hours dealing,After-hours|After-hours trading|after|dealing|hour|hours,التداول بعد الإقفال
After-hours trading,After-hours|After-hours dealing|after|hour|hours|trading,التداول بعد الإقفال
After-tax basis,After-tax|after|basis|tax,أساس ما بعد الضريبة
After-tax proffit margin,After-tax|margin|profit,هامش الربح بعد خصم الضريبة
After-tax yield,After-tax|after|tax|yield,العائد بعد الضريبة
Against the box,Against|box,من الصندوق
Agency,,وكالة
Agent,,وكيل
Aggregate fair value,fair|fair value|value,إجمالي القيمة العادلة
Aggregate risk,Aggregate|risk,مجموعة المخاطر<BR>إجمالي مبلغ المخاطرة التي يتعرض لها اليوم المصرف مع عميل فيما يتعلق بالتعاقدات الفورية والآجلة.
Aging report,Aging|report,تقرير تعمير، تقرير أعمار الذمم
Agreement,,اتفاقية
agreement,,اتفاقية، اتفاق
Ahead,,بسعر أعلى
AHLI UNITED BANK B.U.C,AHLI,البنك الأهلي المتحد ش.م.ب
AHLIA INDUSTRIAL PROJECTS CO. (K.S.C.C),AHLIA,الشركة الأهلية للمشاريع الصناعية ش.م.ك.م
Ahmad Wadan,Ahmad|Ahmed|Ahmed Wadan|Wadan|Waden,<A href='http://wadan.arablish.com'>أحمد وَدَنْ</A><BR>من قام بتجميع هذا المسرد
Aims,,أهداف
Air carrier,Air|carrier,شركة نقل جوي، ناقل جوي
AJIAL REAL ESTATE ENTERTAINMENT CO. KSCC,AJIAL,شركة أجيال العقارية الترفيهية ش.م.ك.م
Ajial Real Estate Entertainment Company,,شركة أجيال العقارية
Akar Company For Real Estate Investments,,شركة عقار للاستثمارات العقارية
Al Ahli Bank of Kuwait,,البنك الأهلي الكويتي
Al Ahli Gluf  Fund,,الصندوق الأهلي الخليجي
Al Ahli Industrial Projects Company K.S.C. (Closed),,الشركة الأهلية للمشاريع الصناعية ش.م.ك (مقفلة)
Al Ahli Kuwaiti Fund,,الصندوق الأهلي الكويتي
Al Ahlia Investment Company K.S.C.C.,,الشركة الأهليية للاستثمار ش.م.ك (مقفلة)
Al Dar Asset Management Company K.S.C.C.,,شركة الدار لإدارة الأصول ش.م.ك (مقفلة)
AL Dar Securities Fund,,صندوق الدار للأوراق المالية
Al Ghazeer Carpentry Company W.L.L.,,شركة الغزير للنجارة ذ.م.م
Al Karam Al Arabi For Catering Company Limited,,شركة الكرم العربي للتجهيزات الغذائية المحدودة
Al Madar Finance and Investment Company K.S.C. (Closed),,شركة المدار للتمويل والإستثمار ش.م.ك (مقفلة)
AL-AHLEIA INSURANCE COMPANY,AL-AHLEIA|INSURANCE,الشركة الأهلية للتأمين
Al-Ahleia Insurance Company,,الشركة الأهلية للتأمين
AL-AHLEIA INVESTMENT COMPANY,AL-AHLEIA|INVESTMENT,الشركة الأهلية للاستثمار
AL-AHLI BANK OF KUWAIT,AL-AHLI|KUWAIT,البنك الأهلي الكويتي
Al-Ahlia Gulf Holding Company K.S.C. (Closed),,الشركة الأهلية الخليجية القابضة ش.م.ك (مقفلة)
AL-ALAMIAH TECHNOLOGY GROUP CO. K.S.C.C,AL-ALAMIAH|TECHNOLOGY,شركة مجموعة العالمية للتكنولوجيا ش.م.ك
AL-AMAN INVESTMENT CO. K.S.C.C,AL-AMAN|INVESTMENT,شركة الأمان للاستثمار ش.م.ك.م
Al-Aman Investment Company,,شركة الأمان للاستثمار
AL-ARABI GROUP HOLDING CO. (K.S.C),AL-ARABI|GROUP,شركة مجموعة عربي القابضة ش.م.ك
Al-Arabi Group Holding Company,,شركة مجموعة عربي القابضة
Al-Dar National Real Estate,,شركة الدار الوطنية للعقارات
AL-DAR NATIONAL REAL ESTATE CO. K.S.C.C,AL-DAR|REAL ESTATE,شركة الدار الوطنية للعقارات ش.م.ك مقفلة
AL-DEERA HOLDING CO. K.S.C.C,AL-DEERA|HOLDING,شركة الديرة القابضة ش.م.ك.مقفلة
Al-Deera Holding Company,,شركة الديرة القابضة
AL-ENMA'A REAL ESTATE CO. (K.S.C.CLOSED),AL-ENMA'A|REAL ESTATE,شركة الإنمــاء العقارية - ش.م.ك مقفلة‏
Al-Enma'a Real Estate Company,,شركة الإنماء العقارية
AL-MADAR FINANCE AND INVESTMENT CO.,AL-MADAR|FINANCE|INVESTMENT,شركة المدار للتمويل والاستثمار ش.م.ك.م
AL-MADINA FOR FINANCE AND INVESTMENT CO.,AL-MADINA|FINANCE|INVESTMENT,شركة المدينة للتمويل والاستثمار ش.م.ك.م
Al-Mal Investment Company,,شركة المال للاستثمار
AL-MAL INVESTMENT COMPANY (K.S.C.C.),AL-MAL|INVESTMENT,شركة المال للاستثمار (ش.م.ك.مقفلة)‏
Al-Massaleh Real Estate,,شركة المصالح العقارية
AL-MASSALEH REAL ESTATE CO. [K.S.C.C],AL-MASSALEH|MASALEH|REAL ESTATE,شركة المصالح العقارية ش.م.ك. مقفلة
AL-MAZAYA HOLDING CO. S.A.K.C,AL-MAZAYA|HOLDING,شركة المزايا القابضة ش.م.ك مقفلة
Al-Mazaya Holding Company,,شركة المزايا القابضة
AL-SAFAT INVESTMENT CO. K.S.C.C,AL-SAFAT|INVESTMENT,شركة الصفاة للاستثمار ش.م.ك مقفلة
Al-Safat Investment Company,,شركة الصفاة للإستثمار
AL-SAFWA GROUP CO. K.S.C.C HOLDING,AL-SAFWA|GROUP,شركة مجموعة الصفوة ش.م.ك مقفلة قابضة
AL-TAMDEEN INVESTMENT CO. K.S.C.C,AL-TAMDEEN|INVESTMENT,شركة التمدين الاستثمارية ش.م.ك مقفلة
Al-Tamdeen Investment Company,,شركة التمدين الاستثمارية
Al-Tamdeen Real Estate Company,,شركة التمدين العقارية
AL-THEMAR INTERNATIONAL HOLDING CO.,AL-THEMAR|HOLDING|INTERNATIONAL,شركة الثمار الدولية القابضة ش.م.ك مقفلة
Albania,,ألبانيا
Algeria,,الجزائر
Alienate,,يحول ملكية
Allegation,,ادعاء/زعم
Alleging,,اتهام شخص دون إثبات التهمة
Allocate,,يخصص
Allocation,,توزيع - تحميل : عادة تترافق مع التكاليف
Allowance,,مخصص
Allowances,,مخصصات - مسموحات
Amal Foods,,شركة أعمال الغذائية
Amendment,,تعديل
American Accounting Association,Accounting|American|Association,جمعية المحاسبة الأمريكية
American Institute of Certified Public Accountants (AICPA),Accountants|American|Certified|Institute|Public,المجمع الأمريكي للمحاسبين القانونيين
Amortization,,إطفاء - للأصول غير الملموسة
Amortization of goodwill,Amortization|goodwill,إطفاء شهرة
Amortization of premium on investment securities,Amortization|investment|premium|securities,إطفاء علاوة إصدار عن أوراق مالية للاستثمار
Amortization rate,Amortization|rate,معدل الإطفاء
Amounts due to related parties do not carry any interest,Amounts|carry|due to|interest|related parties,لا تحمل المبالغ المستحقة إلى أطراف ذات صلة أية فوائد
Amounts paid towards…,,مبالغ مدفوعة مقابل/نظير...
AMS (Actual Market Share),AMS|Market Share,حصة السوق الفعلية
Andorra,,أندورا
ANG,,جلدر الأنتيل الهولندية
Angola,,أنجولا
Antigua and Barbuda,Antigua|Barbuda,أنتيجوا وباربودا
AOK,,كوانزا
Appraisal Costs,Appraisal|Costs,تكاليف اكتشاف المنتجات غير المطابقة للموصفات
Appraisal fees,Appraisal|fees,أتعاب تقييم
appreciation,,"تقدير, تقييم، زيادة في القيمة"
Appropriate,,ملائم، مناسب
Appropriately,,بشكل/على نحو مناسب أو ملائم
Approved,,معتمد، مصدق عليه، موافق عليه
AQAR REAL ESTATE INVESTMENTS CO. S.A.K.C,AQAR|ESTATE|INVESTMENTS|REAL,شركة عقار للاستثمارات العقارية ش.م.ك.م
ARAB INSURANCE GROUP B.S.C.,ARAB|GROUP|INSURANCE,المجموعة العربية للتأمين ش.م.ب
ARAB REAL ESTATE CO. (K.S.C.CLOSED),ARAB|ESTATE|REAL,الشركة العربية العقارية ش.م.ك.مقفلة‏
Arab Real Estate Company,,الشركة العربية العقارية
Aramex,,أرامكس
Aref Investment Group,,شركة مجموعة عارف الاستثمارية
AREF INVESTMENT GROUP (KSCC),AREF|GROUP|INVESTMENT,مجموعة عارف الاستثمارية ش.م.ك.م
Argentina,,الأرجنتين
Armenia,,أرمينيا
ARP,,بيزو أرجنتيني
Arwa Gulf Trading Company W.L.L,,شركة أروى الخليج التجارية ذ.م.م
As at 30 June 2006,As at,كما في 30 يونيو 2006
As at 30 September 2006,As at,كما في 30 سبتمبر 2006
As at 31 December 2005,As at,كما في 31 ديسمبر 2005
As at 31 December 2006,As at,كما في 31 ديسمبر 2006
As at 31 March 2006,As at,كما في 31 مارس 2006
As at the balance sheet date,As at|balance sheet|balance sheet date|date,كما في تاريخ الميزانية العمومية
As is,As|is,كما هو
Ask size,Ask|size,عدد الأسهم المعروض للبيع
Ask-bid system,Ask|Ask-bid|bid|system,نظام أمر الشراء وأمر البيع
Asked discount,Asked|discount,سعر خصم البيع
Asset,,أصل
Asset acquisition,Asset|acquisition,حيازة الموجودات/الأصول
Asset allocation,Asset|allocation,توزيع الموجودات/الأصول
Asset allocation decision,Asset|allocation|decision,قرار توزيع الموجودات/الأصول
Asset allocation manual fund,Asset|allocation|fund|manual,صندوق استثمار مشترك موزع الموجودات
Asset and liability management,Asset|liability|management,إدارة الموجودات/الأصول والمطلوبات/الخصوم
Asset backing,Asset|backing,دعم الموجودات/الأصول
Asset classes,Asset|classes,فئات الموجودات/الأصول
Asset-backed bonds,Asset-backed|asset|back|backed|bonds,السندات المضمونة بأصل من الأصول
Asset-backed securities,Asset-backed|asset|back|backed|securities,أوراق مالية بضمان أصول
Asset-based finance,Asset-based|asset|base|based|finance,تمويل بضمات أصول
Asset-Based Financing,Financing,التمويل برهن الأصول
Asset-Based Lending,Lending,الإقراض برهن الأصول
Assets,,موجودات/أصول
Assets denominated in foreign currencies,Assets|denominated|foreign currencies|foreign currency,الموجودات المقومة بالعملات الأجنبية
Assets pledged as collateral,Assets|collateral|pledged,أصول مرهونة كضمان
Assignment,,تنازل، نقل ملكية، تحميل
Associate,,شركة زميلة
Associate Experience Survey,,اسـتبيان تجربة/ انطباعات الزملاء
Associated company,Associated|company,شركة زميلة
Associated costs,Associated|costs,التكاليف ذات الصلة
Assurance Services,Assurance|Services,خدمات التأكيد
At its discretion,discretion,وفقا لما تراه
At the balance sheet date,balance sheet|date,بتاريخ الميزانية العمومية
At the latest,,في موعد أقصاه
ATS,,شلن
Attestation Services,Attestation|Services,نوع من أنواع خدمات التأكيد يصدر فيها المدقق رأي حول مصداقية إقرارات تصدر من جهة أخرى
Attributable,,المنسوب إلى، العائد إلى، المسند
auction,,مزاد
AUD,,دولار أسترالي
Audit fees,Audit|fees,أتعاب تدقيق/مراجعة
Audit firm,Audit|firm,مكتب تدقيق
Audit Report,Audit|Report,تقرير المراجعة
Audit scope,Audit|scope,نطاق التدقيق/المراجعة
Audit trails,Audit|trails,السجلات الإلكترونية
Auditing,,المراجعة - تدقيق الحسابات
auditing,,تدقيق/مراجعة/فحص فحص الحسابات
Auditing standards,Auditing|standards,معايير التدقيق
Auditor,,مدقق الحسابات
Australia,,أستراليا
Austria,,النمسا
Authority matrix,Authority|matrix,منظومة السلطة
Authorized,,مصرح به، مقبول، موافق عليه
Authorized capital,Authorized|capital,رأس المال المصرح به
Automated clearing-house,Automated|clearing|clearing house|house,غرفة مقاصة إلكترونية بين البنوك
Automated control,Automated|control,رقابة آلية
Automated FOREX,Automated|FOREX,التداول الآلي للعملات الأجنبي
AUTOMATED SYSTEMS COMPANY (K.S.C.C),SYSTEMS,شركة الأنظمة الآلية (ش.م.ك مقفلة)‏
Available-for-sale assets,Available-for-sale|assets,موجودات متاحة للبيع
Available-for-sale investments,Available-for-sale|investments,استثمارات متاحة للبيع
Azerbaijan,,أذربيجان
Back-Testing,Back|Testing,الاختبار العكسي
Backflush Costing,Backflush|Costing,نظام تكاليف الطلبيات المرتبط بنظام JIT
Backtesting,,اختبار استراتيجيات التداول
Bad Debts,Bad|Debts,ديون معدومة
Bahamas,,الباهاماس
Bahrain,Kingdom,البحرين (مملكة البحرين)
BAHRAIN KUWAIT INSURANCE CO. BSC,BAHRAIN|INSURANCE|KUWAIT,الشركة البحرينية الكويتية للتأمين
Balance,,رصيد، ميزان، بقية، يوازن
Balance Scorecard,Balance|Scorecard|card|score|score card,كرت تقييم الأرصدة: يترجم سياسة وإستراتيجية المنظمة ككل ضمن مقاييس أداء
Balance sheet,Balance|sheet,الميزانية العمومية - قائمة المركز المالي
balance sheet,,ميزانية عمومية
Balances Scorecard System,Balances|Scorecard|System,نظام بطاقة الدرجات المتوازنة
Bangladesh,,بنجلاديش Barbados بربادوس Belarus بيلاروس
Bank guarantee,Bank|guarantee,كفالة بنكية
Bank of Bahrain and Kuwait,,بنك البحرين والكويت
BANK OF KUWAIT AND THE MIDDLE EAST,BANK|KUWAIT|MIDDLE EAST,بنك الكويت و الشرق الأوسط
Bank overdraft,Bank|overdraft,سحب بنكي على المكشوف
Bankruptcy,,إفلاس
Basic Accounting Assumptions,Accounting|Accounting Assumptions|Assumptions,الفروض المحاسبية الرئيسية
Basic Accounting Principles,Accounting|Accounting Principles|Principles,المبادئ المحاسبية الرئيسية
Basic risk,risk,مخاطر أساسية
Basis of preparation,preparation,أساس الإعداد
Batch,,مجموعة - حزمة
Batch-Level Costs,Batch|Costs|Level,تكاليف الحزمة: تكاليف تخص مجموعة معينة من العناصر والمنتجات أو الخدمات وليس عنصر محدداً أو خدمة
BAYAN INVESTMENT CO. K.S.C.C.,BAYAN|INVESTMENT,شركة بيان للاستثمار ش.م.ك مقفلة
Bayan Investment Company,,شركة بيان للإستثمار
BBD,,دولار بربادوس
BDT,,تاكا
BEC,,فرنك بلجيكي
BEF,,فرنك بلجيكي
Behbehani Air Conditioning Est,,مؤسسة بهبهاني للتبريد والتكييف
BEL,,فرنك بلجيكي
Belgium,,بلجيكا
Belize,,بليز
Benchmark price,,السعر المقارن
Benchmarking,Bench|marking,اختبار الأداء
Benin,,بنين
BGL,,ليف
BHD,,دينار بحريني
Bhutan,,بوتان
BIF,,فرنك بوروندي
Billing in excess,Billing|excess,فواتير صادرة بالزيادة
Billing on Construction in Process,Billing|Construction|Process,مطالبات أو فواتير عقود إنشاءات تحت التنفيذ
BJ Services Company,,شركة بي جي سيرفيسز
BKME,,بنك الكوبت والشرق الأوسط
Blue chip,,سهم أو سَند صادِر عن شركة أمريكية مَرموقة
Blue chip company,,شركة ممتازة
BMD,,دولار برمودي
BND,,دولار بروناي
Board of Directors,Board|Directors,مجلس الإدارة
Board of trustees,,مجلس الأُمناء
Board order,,أمر تَعامُل بالبورصة
Board room,,غُرفة لوحة الأسعار
BOD,board|directors,مجلس الإدارة
Body corporate,Body|corporate,الهيئة المؤسسة، شحص معنوي
Bolivia,,بوليفيا
Bona fide arbitrage,,مُراجَحَة بِحسن نية
Bona fide purchaser,,مُشتري بِحُسْن نِية
Bond dividend,Bond|dividend,أرباح على شكل سندات
Bond duration,Bond|duration,عمر السند، مدة السند
Bonds,,السندات
Bonds and High Yield Fund,,صندوق السندات والعوائد المرتفعة
Bonds Discount,Bonds|Discount,خصم إصدار السندات
Bonds Premium,Bonds|Premium,علاوة إصدار السندات
Bone fide financial reasons,,أسباب تجارية خالصة
Bonus shares,Shares|bonus|share,أسهم منحة
Book Value,Value,القيمة الدفترية
BOP,,بيزو بوليفي
Bosnia and Herzegovina,Bosnia|Herzegovina,البوسنة والهرسك
Botswana,,بوتسوانا
Boubyan Bank,,بنك بوبيان
BOUBYAN BANK K.S.C,BANK|BOUBYAN,بنك بوبيان ش.م.ك
BOUBYAN PETROCHEMICALS CO. (K.S.C),BOUBYAN|PETROCHEMICALS,شركة بوبيان للبتروكيماويات ش.م.ك
Boubyan Petrochemicals Company,,شركة بوبيان للبتروكيماويات
Brand,,علامة تجارية
Brazil,,البرازيل
BRC,,كروزيرو
Breakeven Point,Breakeven|Point,نقطة التعادل: تساوي التكاليف مع الإيرادات
Bridge loan,Bridge|loan,قرض مؤقت/تجسيري/قصير الأجل
Brunei,,بروناي
BSD,,دولار باهاماني
Budget,,موازنة تقديرية
Build-Operate-Own-Transfer (BOOT),BOOT|Build|Operate|Transfer,بنلء-تشغيل-تحويل
Build-Operate-Transfer (BOT),BOT|Build|Operate|Transfer,بناء-تشغيل-تحويل (بوت)
BUK,,كيات
Bulgaria,,بلغاريا
Bullwhip Effect,Bullwhip|Effect,التغير المرتفع في مستوى الموردين عن المصنعين و المصنعين عن بائعي التجزئة
Bundled Product,Bundled|Product,المنتج المحزوم: مجموع منتجات أو خدمات تباع بسعر مفرد
Bureau,,مكتب، إدارة، قسم
Burgan Bank,Bank|Burgan,بنك برقان
BURGAN CO. FOR WELL DRILLING (K.S.C.C.),BURGAN|DRILLING|WELL,شركة برقان لحفر الآبار ش.م.ك مقفلة
"Burgan Company for Well Drilling, Trading and Maintenance K.S.C. (Closed)",,شركة برقان لحفر الآبار والتجارة والصيانة ش.م.ك (مقفلة)
BURGAN GROUP HOLDING CO. K.S.C.C,BURGAN|GROUP|HOLDING,شركة مجموعة برقان القابضة ش.م.ك مقفلة
Burgan Group Holding Company,,شركة مجموعة برقان القابضة
Burkina Faso,Burkina|Faso,بوركينا فاسو
Burundi,,بوروندي
Business Corporation Law,Business|Corporation|Law,قانون الشركات التجارية
Business Entity,Business|Entity,المنشأة (الوحدة) الاقتصادية
Business finance,,تمويل الأعــمال التجارية، تمويل الأعــمال
Business Transaction,Business|Transaction,عملية تجارية
Business Unit,,وحدة الأعمال
Buyer,,مشتري
BWP,,بولا
By-Laws,By|Laws,اللوائح الداخلية
Byproduct,,منتج مبيعاته منخفضة مقارنة مع المنتج الأساس
BZD,,دولار بليزي
CAD,,دولار كندي
Call,,طلب، استدعاء، مطالبة بالسداد
Call deposit,Call|deposit,وديعة تحت الطلب
Call Provision,Call|Provision,شرط الاستدعاء - للأسهم الممتازة و السندات
Called for him to go,,طالبت باستقالته
Cambodia,,كمبوديا
Cameroon,,الكاميرون
Canada,,كندا
Capacity,,سعة، قدرة، طاقة
Cape Verde,Cape|Verde,جزر كيب فيردي
Capital,,رأس المال
Capital Account,Account|Capital,حساب رأس المال
Capital adequacy schedule,Capital|adequacy|schedule,جدول السيولة
Capital Budget,Budget|Capital,موازنة رأسمالية
Capital expenditure,Capital|expenditure,النفقات الرأسمالية - مصروف رأسمالي
Capital Gains,Capital|Gains,مكاسب رأسمالية - أرباح رأسمالية
Capital Losses,Capital|Losses,خسائر رأسمالية
Capital Maintanance Concept,Capital|Concept|Maintanance,مفهوم المحافظة على رأس المال
Capitalization,,رسملة
Capitalize,,يرسمل
Cargo,,بضائع، حمولة، شحنة
Carrier,,شركة نقل، ناقل
Carry on,,يزاول
Carry out,,ينفذ
Carrying Value,Carrying|Value,القيمة الدفترية
Case notice,,إعلان صحيفة الدعوى
Cash,,النقد - النقدية
Cash and cash equivalent,Cash|equivalent,نقد ونقد معادل
Cash at bank,Cash|bank,نقد لدى البنك
Cash Basis of Accounting,Accounting|Basis|Cash,الأساس النقدي المحاسبي
Cash Budget,Budget|Cash,الموازنة النقدية - الميزانية التقديرية للنقدية
Cash dividends,Cash|dividends,توزيعات نقدية
Cash Equivalent,Cash|Equivalent,النقد المعادل - ما يعادل النقدية
Cash flow,Cash|flow,التدفق النقدي
Cash Flow from operations,Cash|Flow|Flows|operations,التدفقات النقدية من العمليات التشغيلية
Cash Flows,Cash|Flows,التدفقات النقدية
Cash flows from operating activities,Cash|activities|flows|operating,التدفقات النقدية من الأنشطة التشغيلية
Cash Flows Statement,Cash|Flows|Statement,بيان / قائمة التدفقات النقدية
Cash in hand,Cash|hand,نقد بالصندوق
Cash Inflows,Cash|Inflows,التدفقات النقدية الداخلة، مصادر النقدية
Cash Outflows,Cash|Outflows,التدفقات النقدية الخارجة
Cash–generating units,Cash|Cash–generating|generating|units,الوحدات المولدة للنقد
CBK,,بنك الكويت المركزي
Cell,,خانة، خلية
Central African Republic,African|Central|Republic,أفريقيا الوسطى
Central Bank of Kuwait (CBK),Bank|CBK|Central|Kuwait,بنك الكويت المركزي
Central Tenders Committee,Central|Committee|Tenders,لجنة المناقصات المركزية (الكويت)
Certificate of police record,Certificate|police record,صحيفة الحالة الجنائية، فيش وتشبيه
Certified Public Accountant,Accountant|Certified|Public,المحاسب القانوني المرخص حسب مهنة المحاسبة في الولايات المتحدة
Chad,,تشاد
Chairman,,رئيس مجلس الإدارة
Chairman and Managing Director,Chairman|Director|Managing,رئيس مجلس الإدارة والعضو المنتدب
Challenge jurisdiction,,طعن في الاختصاص
Chamber of Commerce,Chamber|Commerce,غرفة التجارة
Change in fair value of available for sale investment,available for sale|available-for-sale|fair|fair value|investment|value,التغير في القيمة العادلة لاستثمارات متاحة للبيع
Change in fair value of available-for-sale assets,assets|available for sale|available-for-sale|fair|fair value|value,التغير في القيمة العادلة لموجودات متاحة للبيع
Change in minority interest,interest|minority|minority interest,التغير في حصة حقوق الأقلية
Chartered Accountant,Accountant|Chartered,محاسب قانوني - غالباً في المملكة المتحدة
Chase after ideals,,يسعى وراء أو نحو المثل العليا أو الغايات المثلى
CHF,,فرنك سويسري
Chief Compliance Officer,,كبير مسئولي الالتزام/الانضباط /الامتثال
Chile,,شيلي
China,,الصين
Claims,,مطالبات، مستحقات
Claims-Made Policy,,وثيقة تأمين عن المطالبات التي يتم تقديمها
Class,,فئة، طبقة
Classification,,تصنيف - تبويب
Classified Financial Statements,Classified|Financial|Financial Statements|Statements,البيانات المالية/القوائم المالية المبوبة
Classified loan,Classified|loan,قرض مصنف
Clean balance sheet,Clean|balance|balance sheet|sheet,ميزانية عمومية خالية من الديون
Clear title,Clear|title,ملكية كاملة
Clearance,,تسوية، مقاصة، تصفية، تخليص
Clearing,,مقاصة، تصفية، تخليص
Clearing fund,Clearing|fund,صندوق المقاصة
Clearing house,Clearing|house,غرفة المقاصة
Client,,عميل
Clone fund,Clone|fund,صندوق مستنسخ
Close out,Close,تصفية
Close prices,Close|price|prices,أسعار متقاربة
Closed account,Closed|account,حساب مغلق
Closed market,Closed|market,سوق مغلق
Closed-end fund,Closed-end|fund,صندوق مغلق، صندوق استثمار مغلق
Closed-end investment company,Closed-end|company|investment,شركة استثمار مغلقة الراسمال
Closed-end lease,Closed-end|lease,عقد إيجار مغلق
Closing,,إغلاق، تسوية
Closing agent,Closing|agent,وكيل التسوية
