Source,German/Dutch,Arabic
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"DAccept an account, to",قبل حسابا. وافق على حساب، صدق على حساب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Accept, to",قبل. وقع بالقبول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Acceptable,صالح للقبول، مقبول، صالح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Acceptance,قبول، توقيع بالقبول. كمبيالة (سفتجة) مقبولة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAcceptance ledger,دفتر الأوراق مقبولة الدفع،'دفتر التعهدات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,N-Acceptance register; acceptance supra protest,سجل الأوراق مقبولة الدفع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Accession,انضمام، دخول فى ملكية، التحاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Accidental,عرض، طَارِئ، بطريق الصدفة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,B)Account subject to notice; notice account,حساب بإخطار سابق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Accountant,محاسب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DAccountant general (UK),أَمِين عام خزينة محكمة ، وكيل حسابات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Accounting,محاسبة، حسابك
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAccounting convention,عرف محاسبى ، قواعد محاسبية متعارف عليها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAccounting par value,قيمة اسمية حسابية، سعر تعادل حسابي لعملة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,YAccounts receivable,حسابات أو ديون تحت التحصيل، حسابات المقبوضات، حسابات المدينين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Accreditor,معطي الأمر، مصدر التفويض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Accrue, to",تزايد، تجمع، تراكم، تحقق، نشأ، استحق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"I*Accrued assets (US), see accrued dividends",قسائم (كوبونات) مستحقة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAccumulated depreciation,مجمع الإهلاك، مجمع أقساط الاستهلاكات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,D!Accumulation of capital equipment,تراكم التجهيزات الرأسمالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,tAcid test ratio,نسبة التداول، نسبة الأصول الجارية للالتزامات الجارية، نسبة السداد السريع نسبة السيولة الحادة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAcid test ratio,اختبار السيولة الحادة ، نسبة السداد السريع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAcknowledgment of receipt,إقرار بالاستلام ، إفادة بالاستلام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"KAcquired clause, after ",شرط تضمين الالتزامات المستجدة على رهن سابق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Acquit, to",إبرا، تخلص، دفع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Act of God,قوة قاهرة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Act of Law,قوة القانون
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"J""Action for acknowledgement of debt",دعوى إقرار بدين، دعوى إثبات دين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,L Action for avoidance of contract,عمل من شأنه فسخ العقد، دعوى فسخ عقد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Actionable,إهمال مستوجب إقامة الدعوى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"R""Actionable negligence Activate, to",نشط، جهز، جعل ساري المفعول، طرح للتداول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Activation,تنشيط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DActivity charge,مصاريف مصرفية (بنكية) عمولة، مصاريف كشف حساب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Actual tax,ضريبة فعلية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Actuarial,اكتوارى. متعلق برياضيات التامين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ad hoc aid,مساعدة حسب السود
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Adaptation,ملائمة، تأقلم، تكيف، مرونة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DAddition to the stock,زيادة رأس المال عن طريق ضم الاحتياطيات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Additional,إضافي، مضاف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAdditional first assessment,فرض ضريبة إضافية زيادة الضرائب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Additions,توسعك إنشائية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Addressee,مرسل إليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Addresser,مرسل منه، مرسل (راسل)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Adhere, to",انضم، وقع على اتفاقية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Adherence,انضمام
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Adjust, to",سوى، صوب عدل، صحح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAdjuster,مقرر، موزع، خبير مصرف، مصفى تأمين باحث شكاوى العملاء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Adjustment,تسوية، تصويب، تعديل، سداد، تصحح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAdjustment of claims (ins),تسوية الخسارة، تقدير الخسارة (تأمين)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAdjustment of credit facilities,تنظيم التسهيلات الائتمانية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAdjustment of exchange rates,تصويب أسعار العملة، تعديل سعر الصرف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAdministrative assessment,ضريبة مصلحية، تقدير ضريبي مصلحي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,D#Administrator cum testamento annexo,قيم يدير تركة بموجب وصية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IAdministrator durante absentia,قيم على تركة بسبب غياب منفذ الوصية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,F#Administrator durante minore aetate,قيم بسبب حداثة منفذ الوصية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAdministrator pendente life,قيم على تركة متنازع على وصية فيها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Admissible,مقبول، جدير بالقبول، مسموح به
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Admission,قبول، تسليم، سماح، قيد، التحاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JAdmission to quotation,قبول فِي التسعيرة ، إدراج فِي قائمة الأسعار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAdmission to stock exchange,قيد بسوق الأوراق المالية (بالبورصة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Admit, to",سلم، قبل، الحق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Admittance,تسلم، قبول، إلحاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Adopt, to",قرر، اتخذ قرارا، تبني
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Adult fare,أجرة كاملة ، أجرة البالغ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAdvance on current account,مقدم على الحساب الجاري ، سلفة –
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Advantage,ميزة، فائدة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Adventure,مخاطرة، مجازفة، مضاربة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,RAdverse balance of payment,رصيد مدين لميزان المدفوعات، عجز ميزان المدفوعات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IAdverse variance,اختلاف سلبي (بين الناتج المحقق والناتج التقديري)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Advertiser,معلن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAdvice of purchase or sale,إشعار تنفيذ (بيع أو شراء) أوراق مالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Advise, to",أخطر، أشعر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aerodrome,مطار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Affect, to",أثر، خص، لحق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Affiliate,شركة منضمة، شركة تابعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aforegoing,سابق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aforesaid,مذكور أعلاه، سابق الذكر، سالف الذكر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,After care,رعاية المفرج عنهم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,After cost,تكلفة تكميلية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,After date,بعد تاريخ الاستحقاق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,After hour,بعد الإقفال (بورصة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JAfter market; secondary market,سوق ثانوية، خارج السوق، بعد الإقفال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KAfter-date bill,ورقة أو كمبيالة بفترة استحقاق تبدأ من تاريخ تحريرها
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Age group,فئة بحسب السن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,MAge life method of depreciation,منهج استهلاك بمعدلات ثابتة، طريقة ---
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Age limit,نهاية العمر، الحد الافتراضي للعمر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,M/Agency for International Development (US) = AID,وكالة التنمية الدولية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Agent Bank,مصرف وكيل، مصرف وكيل لمصرف آخر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aggregate,مجمل، مجموع، كلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAggregate economic activity,مجموع اَلنَّشَاطَات الاقتصادية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IAggregate risk (Exch),مجموعة المخاطر، مخاطر كلية (حالية ومستقبلة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aggregates,مجموع المشكلات الاقتصادية الكبرى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAggregation,تجميع، تراكم (عَوَائِد أو أصول لأغراض ضرائبية)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Agree, to",اتفق على، وافق على، سلم بـ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Agreed sum,مبلغ متفق عليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Agreement,اتفاق، اتفاقية، عقد، تفاهم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAgricultural Credit Bank,اقتصاديات الزراعة، علم الاقتصاد الزراعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAgricultural credit cooperative,جمعية تعاونية للقروض الزراعية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aid agency,هيئة معونة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aid credit,اعتماد معونة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aid tying,معونة مشروطة، معونة مرتبطة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aid users,مستخدمو المعونة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Air cargo,شحن جوي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Air route,طريق جوي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Air-parcel,طرد بريد جوي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Algorithm,خوارزمية، لوغاريتم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alibi (US),عذر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alienable,قابل للتصرف فيه، أو التنازل عنه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alienation,تصرف، تحويل، نقل ملكية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alienator,متصرف، ناقل ملكية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alignment,انحياز، خط تَنْظِيم، تقريب، تقارب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAll charges to goods,كافة المصروفات على عاتق مستلم البضاعة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,All fours,شبه بين حالتين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,SAll or none,كل المعروض أو لا شيء، الكل من عدمه (التنفيذ بالكامل أو الإلغاء)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,All risks,كافة الأخطار
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Allegation,ادعاء، موضوع الدعوى، وسيلة الدفاع
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Allege, to",ادعي، زعم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Allocation,تخصيص، مخصص، توزيع، تقسيم، مرتب، علاوة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,XAllocation to highest bidder,رسو المزاد على أكبر سعر، رسو المزاد بعد زيادة العشر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAllonge to a bill of exchange,ملحق كمبيالة، امتداد كمبيالة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAllonge to a bill of exchange,امتداد محرر الكمبيالة ، ملحق-
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Allot, to",خصص، قسم، وزع، سلم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Allotment,تخصيص، تقسيم، توزيع، تسليم حصة أو سهم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,OAllowance for bad debts,احتياطي ديون مشكوك فى تحصيلها، مخصص ديون معدومة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,J)Allowance for decline In foreign exchange,احتياطي هبوط أسعار الصرف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"F""Allowance for exchange fluctuation",احتياطي تقلبات أسعار العملة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,A#Allowance for exchange fluctuations,مخصص تقلبات سعر الصرف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alongside,نتيجة، تقويم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alteration,رقم أبجدي تَعْدِيل، تغيير
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Alternance,تناوب ، تبدل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CAlternative ad valorem duty,نسبة قيمية للرسم الجمركي البديل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,P&Alternative cost; alternative use cost,تكلفة بديلة، تكلفة الفرصة البديلة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,B!Alternative employment of capital,استخدام بديلي لرأس المال
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ambassador,سفير
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ambiguity,لبس، التباس، غموض، ازدواج المعنى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Amend, to",عدل، صحح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Amendment,تعديل، ملحق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAmerican Bankers' Association,جمعية المصرفيين اَلأَمْرِيكِيِّينَ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,JAmerican depositary receipt,إيصال إيداع أوراق مالية (بديل للشهادة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAmerican Management Association,اتحاد أصحاب الأعمال الأمريكيين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,IAmerican shares certificate,شَهَادَة قابلة للتطهير (تجارة خارجية)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAmerican Standard Association,جمعية التوحيد القياسي الأمريكية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAmerican Stock Exchange,بورصة الأوراق المالية الثانية في نيويورك
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,GAmicus curiae (Lat),صديق المحكمة، شخص ثالث يستأنس برأيه في قضية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAmount brought in,مرحل من سنوات سابقة، حساب منقول، ما قبله
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AAmount in controversy (jur),قيمة الدعوى، مبلغ متنازع عليه
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Amount, to",بلغ، وصل إلى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,C.Amplitude of fluctuations Amstel club; Amstel,سعة التقلبات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAmusement taxes,نادي تمويل العمليات التجارية (15 بلدا أوربيا)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,analogous,بَيَانَات قياسية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DAnalytical result; analytical,نتيجة تحليلية، نتيجة اقتصادية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAnatocism (compound interest ),تركيب الفوائد. رأسمالية الفوائد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ancillary,تبعى، مساعد، معاون
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Annotation,شرح، تعليق، حاشية ، ملاحظة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Announcer,مذيع، مقدم إذاعي، مقدم إعلان
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAnnual depreciation,استهلاك سَنَوِيّ، قسم استهلاك سَنَوِيّ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Annuitant,صاحب دخل، مستفيد من إيراد سنوي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Annul, to",ألغي، أبطل، فسخ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Answer, to",أجاب، رد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAntidouble tax treaty,اتفاقية خاصة بمنع اَلِازْدِوَاج الضريبي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KAnti-dumping duties ; - levy,رسوم حماية، رسوم مكافحة الإغراق السلعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apart from,ما عدا، ما خلا، باستثناء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apartheid,تفرقة عنصرية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apartment,شقة، جناح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,TApex institution,منشاة أم، منشأة محورية (تمد بالخبرة والمال المنشأة التابعة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apiculture,تربية النحل
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apologized,معتذر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Apparatus,جهاز
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Appear, to",ظهر، بأن، حضر
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appearance,حضور، ظهور، تقديم
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appellant,مستأنف، طاعن
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appellate,استئناف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,EAppellate jurisdiction,درجة اَلِاسْتِئْنَاف ، قَضَاء استئنافى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appliances,أجهزة، تركيبات، عدد
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Applicable,واجب التطبيق، قابل للتطبيق
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Applicant,مقدم طلب، مرشح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AApplication of payments,خصم المدفوعات ، استنزال المدفوعات
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,NApplied proceeds swap (Sec),استبدال حصيلة الأوراق المالية بأوراق أخرى
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"H&Apply for stock exchange quotation, to",طلب القيد في جدول البورصة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Apply, to",طلب، طبق، اكتتب، خصص
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appointee,معين، محدد، موظف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Appointer,صاحب العمل، من يقوم بالتعيين
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,FAppropriation account,حساب المخصصات، حسابات الاعتمادات المالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,HAppropriation of payments,تبويب المدفوعات علي الاعتمادات المالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"A""Appropriation of retained earnings",تخصيص الأرباح المحتجزة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BApproval of the accounts,اعتماد الحسابات، اعتماد الميزانية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,DArbitrage in Securities,موازنة أو مراجحة فى الأوراق المالية
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Arbitrary,تحكمي، رسمي، استبدادي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,SArbitrary taxation,تقدير جُزَافِي للضرائب ، تقدير تَحَكُّمِيّ ، ربط حُكْمِي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Arbitrator,محكم، مستشار محكم، وسيط
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Arc; arch,قوس
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Argue, to",ناقش، ترافع، دلل، علل، دفع، احتج
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BAriel (1974)(UK),نظام آلي أنشئ سنة 4791 في لندن لبيع وشراء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Arithmetic,حساب، علم الحساب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Arrearage,تأخير
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,L(Arrears of dividends arrearages of (US),متأخرات القسائم (الكوبونات)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Arrest, to",أوقف، اعتقل، قبض على، كبح، حجز
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Arrive, to",وصل، بلغ
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,CArticle,مادة (قانون)، بند (حسابي)، مقال (صحفي)، صنف (بضاعة)
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,BArticles of association,نظام شركة، قانون أساسي، نظام أساسي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,AArticles of association (UK),نظام أساسي لشركة، نظام داخلي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Artificial,مصطنع، زائف
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,As a loan,على سبيل القرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ascendancy,قرابة الأجداد، أصول
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Ascending,صاعد، طالع، تصاعدي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"M&Asked price, asking price; price asked",سعر بيع، سعر البائع، سعر العرض
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Aspiration,طموح
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,KAssay,اختبار، تحليل، فحص المعادن الثمينة، مراجعة الموازين والمقاييس
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assemblage,تجميع، تركيب
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Assert, to",أكد، طالب، دافع، ادعي
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assertion,تأكيد، دفاع، إدعاء
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,"Assess, to",حدد، قدر، اخضع للضريبة، حمل بضريبة، فرض ضريبة
Al-Asiouty Banking and Financial dictionary by Muhammad Shalabi,Assessable,خاضع للضريبة
